dining_hall_id, meal_type, food_type, food_name, days, food_id
1005, Breakfast, Fruits, Grapes Red, 8/17/2020, 851
1005, Breakfast, Fruits, Berry Strawberries Fresh, 8/17/2020, 877
1005, Breakfast, Fruits, Pineapple Fresh Cubed Precut, 8/17/2020, 10047
1005, Breakfast, Fruits, Melon Cantaloupe Cubed Precut, 8/17/2020, 10048
1005, Breakfast, Fruits, Melon Honeydew Cubed Precut, 8/17/2020, 10049
1005, Breakfast, Fruits, Apples Golden Delicious, 8/17/2020, 833
1005, Breakfast, Fruits, Orange Sunkist Navel #1, 8/17/2020, 2690
1005, Breakfast, Fruits, Bananas Greentip, 8/17/2020, 841
1005, Breakfast, Entrees, Pork Bacon Applewood Recipe, 8/17/2020, 7755
1005, Breakfast, Entrees, Pancakes Buttermilk, 8/17/2020, 2949
1005, Breakfast, Entrees, Veg Patty Sausage Vegetarian Morningstar, 8/17/2020, 9134
1005, Breakfast, Entrees, Tofu Scramble Vegan, 8/17/2020, 15810
1005, Breakfast, Cereals, Cereal Oatmeal Packet Assorted Bulk, 8/17/2020, 13952
1005, Breakfast, Cereals, Oatmeal Overnight Granola Chia Cranberry, 8/17/2020, 19232
1005, Breakfast, Breads, Bagel Thomas Wheat 100% 6pk, 8/17/2020, 522
1005, Breakfast, Breads, Bagel Thomas Cinnamon Raisin 6pk, 8/17/2020, 2779
1005, Breakfast, Breads, Bagel Thomas Blueberry 6pk, 8/17/2020, 4699
1005, Breakfast, Breads, Bagel Thomas Plain 6pk, 8/17/2020, 18088
1005, Breakfast, Breads, Bagel Thomas Everything 6pk, 8/17/2020, 18275
1005, Breakfast, Proteins, Eggs Scrambled Plain, 8/17/2020, 8837
1005, Breakfast, Starches, Potato Hash Brown Patty Fried, 8/17/2020, 14135
1005, Breakfast, Starches, Cereal Bulk Granola Organic, 8/17/2020, 1622
1005, Breakfast, Dressings & Condiments, Syrup Pancake PC, 8/17/2020, 13288
1005, Breakfast, Parstocks, Butter Peanut PC 200/.75oz, 8/17/2020, 5953
1005, Breakfast, Desserts, Yogurt PF Strawberry 6oz, 8/17/2020, 10022
1005, Breakfast, Desserts, Yogurt PF Vanilla 6oz, 8/17/2020, 10025
1005, Breakfast, Desserts, Yogurt PF Raspberry 6oz, 8/17/2020, 10029
1005, Breakfast, Desserts, Yogurt PF Blueberry 6oz, 8/17/2020, 11131
1005, Breakfast, Fruits, Grapes Red, 8/18/2020, 851
1005, Breakfast, Fruits, Berry Strawberries Fresh, 8/18/2020, 877
1005, Breakfast, Fruits, Pineapple Fresh Cubed Precut, 8/18/2020, 10047
1005, Breakfast, Fruits, Melon Cantaloupe Cubed Precut, 8/18/2020, 10048
1005, Breakfast, Fruits, Melon Honeydew Cubed Precut, 8/18/2020, 10049
1005, Breakfast, Fruits, Bananas Greentip, 8/18/2020, 841
1005, Breakfast, Fruits, Apples Golden Delicious, 8/18/2020, 833
1005, Breakfast, Fruits, Orange Sunkist Navel #1, 8/18/2020, 2690
1005, Breakfast, Entrees, Toast Texas French, 8/18/2020, 3356
1005, Breakfast, Entrees, Sausage Pork Links Recipe, 8/18/2020, 3384
1005, Breakfast, Entrees, Veg Patty Sausage Vegetarian Morningstar, 8/18/2020, 9134
1005, Breakfast, Entrees, Tofu Scramble Vegan, 8/18/2020, 15810
1005, Breakfast, Cereals, Cereal Oatmeal Packet Assorted Bulk, 8/18/2020, 13952
1005, Breakfast, Cereals, Oatmeal Overnight Granola Chia Cranberry, 8/18/2020, 19232
1005, Breakfast, Breads, Bagel Thomas Wheat 100% 6pk, 8/18/2020, 522
1005, Breakfast, Breads, Bagel Thomas Cinnamon Raisin 6pk, 8/18/2020, 2779
1005, Breakfast, Breads, Bagel Thomas Blueberry 6pk, 8/18/2020, 4699
1005, Breakfast, Breads, Bagel Thomas Plain 6pk, 8/18/2020, 18088
1005, Breakfast, Breads, Bagel Thomas Everything 6pk, 8/18/2020, 18275
1005, Breakfast, Proteins, Eggs Scrambled Plain, 8/18/2020, 8837
1005, Breakfast, Starches, Cereal Bulk Granola Organic, 8/18/2020, 1622
1005, Breakfast, Dressings & Condiments, Syrup Pancake PC, 8/18/2020, 13288
1005, Breakfast, Parstocks, Butter Peanut PC 200/.75oz, 8/18/2020, 5953
1005, Breakfast, Desserts, Yogurt PF Strawberry 6oz, 8/18/2020, 10022
1005, Breakfast, Desserts, Yogurt PF Vanilla 6oz, 8/18/2020, 10025
1005, Breakfast, Desserts, Yogurt PF Raspberry 6oz, 8/18/2020, 10029
1005, Breakfast, Desserts, Yogurt PF Blueberry 6oz, 8/18/2020, 11131
1005, Breakfast, Fruits, Grapes Red, 8/19/2020, 851
1005, Breakfast, Fruits, Berry Strawberries Fresh, 8/19/2020, 877
1005, Breakfast, Fruits, Pineapple Fresh Cubed Precut, 8/19/2020, 10047
1005, Breakfast, Fruits, Melon Cantaloupe Cubed Precut, 8/19/2020, 10048
1005, Breakfast, Fruits, Melon Honeydew Cubed Precut, 8/19/2020, 10049
1005, Breakfast, Fruits, Orange Sunkist Navel #1, 8/19/2020, 2690
1005, Breakfast, Fruits, Apples Golden Delicious, 8/19/2020, 833
1005, Breakfast, Fruits, Bananas Greentip, 8/19/2020, 841
1005, Breakfast, Entrees, Gravy Sausage For Biscuits, 8/19/2020, 3303
1005, Breakfast, Entrees, Sausage Turkey Patty Recipe, 8/19/2020, 2803
1005, Breakfast, Entrees, Veg Patty Sausage Vegetarian Morningstar, 8/19/2020, 9134
1005, Breakfast, Entrees, Tofu Scramble Vegan, 8/19/2020, 15810
1005, Breakfast, Cereals, Cereal Oatmeal Packet Assorted Bulk, 8/19/2020, 13952
1005, Breakfast, Cereals, Oatmeal Overnight Granola Chia Cranberry, 8/19/2020, 19232
1005, Breakfast, Breads, Biscuits Buttermilk, 8/19/2020, 4321
1005, Breakfast, Breads, Bagel Thomas Wheat 100% 6pk, 8/19/2020, 522
1005, Breakfast, Breads, Bagel Thomas Cinnamon Raisin 6pk, 8/19/2020, 2779
1005, Breakfast, Breads, Bagel Thomas Blueberry 6pk, 8/19/2020, 4699
1005, Breakfast, Breads, Bagel Thomas Plain 6pk, 8/19/2020, 18088
1005, Breakfast, Breads, Bagel Thomas Everything 6pk, 8/19/2020, 18275
1005, Breakfast, Proteins, Eggs Scrambled Plain, 8/19/2020, 8837
1005, Breakfast, Starches, Cereal Bulk Granola Organic, 8/19/2020, 1622
1005, Breakfast, Parstocks, Butter Peanut PC 200/.75oz, 8/19/2020, 5953
1005, Breakfast, Desserts, Yogurt PF Strawberry 6oz, 8/19/2020, 10022
1005, Breakfast, Desserts, Yogurt PF Vanilla 6oz, 8/19/2020, 10025
1005, Breakfast, Desserts, Yogurt PF Raspberry 6oz, 8/19/2020, 10029
1005, Breakfast, Desserts, Yogurt PF Blueberry 6oz, 8/19/2020, 11131
1005, Breakfast, Fruits, Grapes Red, 8/20/2020, 851
1005, Breakfast, Fruits, Berry Strawberries Fresh, 8/20/2020, 877
1005, Breakfast, Fruits, Pineapple Fresh Cubed Precut, 8/20/2020, 10047
1005, Breakfast, Fruits, Melon Cantaloupe Cubed Precut, 8/20/2020, 10048
1005, Breakfast, Fruits, Melon Honeydew Cubed Precut, 8/20/2020, 10049
1005, Breakfast, Fruits, Apples Golden Delicious, 8/20/2020, 833
1005, Breakfast, Fruits, Orange Sunkist Navel #1, 8/20/2020, 2690
1005, Breakfast, Fruits, Bananas Greentip, 8/20/2020, 841
1005, Breakfast, Entrees, Toast Texas French, 8/20/2020, 3356
1005, Breakfast, Entrees, Ham Slice Grilled, 8/20/2020, 3405
1005, Breakfast, Entrees, Veg Patty Sausage Vegetarian Morningstar, 8/20/2020, 9134
1005, Breakfast, Entrees, Tofu Scramble Vegan, 8/20/2020, 15810
1005, Breakfast, Cereals, Cereal Oatmeal Packet Assorted Bulk, 8/20/2020, 13952
1005, Breakfast, Cereals, Oatmeal Overnight Granola Chia Cranberry, 8/20/2020, 19232
1005, Breakfast, Breads, Bagel Thomas Wheat 100% 6pk, 8/20/2020, 522
1005, Breakfast, Breads, Bagel Thomas Cinnamon Raisin 6pk, 8/20/2020, 2779
1005, Breakfast, Breads, Bagel Thomas Blueberry 6pk, 8/20/2020, 4699
1005, Breakfast, Breads, Bagel Thomas Plain 6pk, 8/20/2020, 18088
1005, Breakfast, Breads, Bagel Thomas Everything 6pk, 8/20/2020, 18275
1005, Breakfast, Proteins, Eggs Scrambled Plain, 8/20/2020, 8837
1005, Breakfast, Starches, Cereal Bulk Granola Organic, 8/20/2020, 1622
1005, Breakfast, Parstocks, Butter Peanut PC 200/.75oz, 8/20/2020, 5953
1005, Breakfast, Desserts, Yogurt PF Strawberry 6oz, 8/20/2020, 10022
1005, Breakfast, Desserts, Yogurt PF Vanilla 6oz, 8/20/2020, 10025
1005, Breakfast, Desserts, Yogurt PF Raspberry 6oz, 8/20/2020, 10029
1005, Breakfast, Desserts, Yogurt PF Blueberry 6oz, 8/20/2020, 11131
1005, Breakfast, Fruits, Grapes Red, 8/21/2020, 851
1005, Breakfast, Fruits, Berry Strawberries Fresh, 8/21/2020, 877
1005, Breakfast, Fruits, Pineapple Fresh Cubed Precut, 8/21/2020, 10047
1005, Breakfast, Fruits, Melon Cantaloupe Cubed Precut, 8/21/2020, 10048
1005, Breakfast, Fruits, Melon Honeydew Cubed Precut, 8/21/2020, 10049
1005, Breakfast, Fruits, Orange Sunkist Navel #1, 8/21/2020, 2690
1005, Breakfast, Fruits, Bananas Greentip, 8/21/2020, 841
1005, Breakfast, Fruits, Apples Golden Delicious, 8/21/2020, 833
1005, Breakfast, Entrees, Pancakes Buttermilk, 8/21/2020, 2949
1005, Breakfast, Entrees, Sausage Pork Patties Recipe, 8/21/2020, 4255
1005, Breakfast, Entrees, Veg Patty Sausage Vegetarian Morningstar, 8/21/2020, 9134
1005, Breakfast, Entrees, Tofu Scramble Vegan, 8/21/2020, 15810
1005, Breakfast, Cereals, Cereal Oatmeal Packet Assorted Bulk, 8/21/2020, 13952
1005, Breakfast, Cereals, Oatmeal Overnight Granola Chia Cranberry, 8/21/2020, 19232
1005, Breakfast, Breads, Bagel Thomas Wheat 100% 6pk, 8/21/2020, 522
