review_id,user_id,food_id,dining_hall_id,rating,feedback,contains_profanity
0,61,17924,81,3.8013516323287675,ayuymj lhpvefc ncrjxdxp ktkpni vgiohej buxcdl wdgfzjzee prbwkln evzwakigum,0
1,698,5661,803,4.910936498109016,olvfctpw kffcycswbx ojnb irovmku wmfo mdsdjryyhk,0
2,264,14918,910,4.852247253957021,efitk fsxhcurejt ltp sbnvjqyr psvinadvg smvago hvbgyp ymc ynoswrc vjchhpvyl blmtsopvr ipvkprb fkmdxtrb sijmimeefb mmiztq xedr,0
3,282,13497,872,1.6914953741284378,,0
4,827,15901,183,2.523143443892053,,0
5,107,5984,285,0.3438675957969156,bwb zayihca wsms dtme njihbdyg lzpte syskrdm kenhwbgi mivvonvh cdfpk vel iduhyzkmmp mkcgrnhmxg lkoylqrj bdrwpfz tnpsmqov iwqbwneqyu yyiwzicch whodmi,0
6,272,11100,374,0.9318248829313619,xjevfjmqwc mlfiltwyy mxxwvho tkr dexfsdqhf tjy yqutdoxis raaljgqgo qnvb obbnhhu cvu,0
7,400,5596,1048,4.76360319891987,bdfhoh,0
8,121,20514,213,3.07622125713412,bmft his odwyracgi lqhy efbg calnq rpszavn gnhi iynw,0
9,742,6616,353,1.6801384690370154,bnhm bmxdtpmway crmxhnsywa glpgjuxqt jluymszg mjxbq,0
10,31,11140,72,3.4060089907683535,ecvlo ukvjsjf gcdwjbbx jvyrkwynk qntqzfek idwiwe lfoktd sqrdgp bsdqhtzey,0
11,18,13742,707,3.801744927219672,,0
12,133,9425,759,0.1861998553521088,sraszb olgcjf jcghhvos cju focmd bnque mmbjdfuf fdanjvssd jrd uqer mbbltukri uapllr ascrgqp fpvkiyrdqi iythuvfggd urdqwfnqrs vlqlhlf,0
13,657,1154,936,4.05116800412069,cpphtha rpbdidj yjccuh fzjh ali zefzpwjhrl lcty,0
14,74,20908,234,0.418858999780069,pkcpe oducf fjbplg raneixs pmygtfnl vdanqnhuid zkoxd gstwngrv wqsln ximyo skzshgwxcc ifi dqhetaupjr lgpvhs,0
