food_id,dining_hall_id,days,meal_type
851,64,M,Breakfast
877,1005,M,Breakfast
10047,1005,M,Breakfast
10048,1005,M,Breakfast
10049,1005,M,Breakfast
833,1005,M,Breakfast
2690,1005,M,Breakfast
841,1005,M,Breakfast
7755,1005,M,Breakfast
2949,1005,M,Breakfast
9134,1005,M,Breakfast
15810,1005,M,Breakfast
13952,1005,M,Breakfast
19232,153,M,Breakfast
522,199,M,Breakfast
2779,1005,M,Breakfast
4699,585,M,Breakfast
18088,1005,M,Breakfast
18275,937,M,Breakfast
8837,1005,M,Breakfast
14135,1005,M,Breakfast
1622,502,M,Breakfast
13288,1005,M,Breakfast
5953,1005,M,Breakfast
10022,1005,M,Breakfast
10025,1005,M,Breakfast
10029,1005,M,Breakfast
11131,844,M,Breakfast
851,1005,T,Breakfast
877,1005,T,Breakfast
10047,1005,T,Breakfast
10048,1005,T,Breakfast
10049,1005,T,Breakfast
841,45,T,Breakfast
833,1005,T,Breakfast
2690,1005,T,Breakfast
3356,1005,T,Breakfast
3384,238,T,Breakfast
9134,1005,T,Breakfast
15810,1005,T,Breakfast
13952,1005,T,Breakfast
19232,1005,T,Breakfast
522,1005,T,Breakfast
2779,327,T,Breakfast
4699,1005,T,Breakfast
18088,1005,T,Breakfast
18275,1005,T,Breakfast
8837,1005,T,Breakfast
1622,1005,T,Breakfast
13288,294,T,Breakfast
5953,1005,T,Breakfast
10022,1005,T,Breakfast
10025,1004,T,Breakfast
10029,877,T,Breakfast
11131,456,T,Breakfast
851,1005,W,Breakfast
877,1005,W,Breakfast
10047,1005,W,Breakfast
10048,1005,W,Breakfast
10049,1005,W,Breakfast
2690,1005,W,Breakfast
833,1005,W,Breakfast
841,1005,W,Breakfast
3303,13,W,Breakfast
2803,670,W,Breakfast
9134,1005,W,Breakfast
15810,1005,W,Breakfast
13952,1005,W,Breakfast
19232,1005,W,Breakfast
4321,1005,W,Breakfast
522,768,W,Breakfast
2779,1005,W,Breakfast
4699,1005,W,Breakfast
18088,1005,W,Breakfast
18275,1005,W,Breakfast
8837,1005,W,Breakfast
1622,1005,W,Breakfast
5953,1005,W,Breakfast
10022,1005,W,Breakfast
10025,1005,W,Breakfast
10029,1005,W,Breakfast
11131,1005,W,Breakfast
851,761,Th,Breakfast
877,1005,Th,Breakfast
10047,1005,Th,Breakfast
10048,1005,Th,Breakfast
10049,1066,Th,Breakfast
833,1005,Th,Breakfast
2690,1005,Th,Breakfast
841,523,Th,Breakfast
3356,1005,Th,Breakfast
3405,864,Th,Breakfast
9134,671,Th,Breakfast
15810,970,Th,Breakfast
13952,174,Th,Breakfast
19232,1005,Th,Breakfast
